key,0,1,2,3,4,5
#,,Item,Location[0],Location[1],Location[2],
int32,uint16,Item,TerritoryType,TerritoryType,TerritoryType,str
0,0,0,0,0,0,""
1,200,15168,148,135,141,"　喵　"
2,201,15169,152,138,145,"萌给"
3,202,15170,153,139,146,"威斯"
4,203,15171,154,180,134,"夏天真是让人疲倦啊……"
5,204,15172,140,148,135,"太扯了吧~"
6,205,15173,141,152,138,"兹拉"
7,206,15174,145,153,139,"真可恶～！"
8,207,15175,146,154,180,"咻乒"
9,208,15176,134,140,148,"呼！！！"
10,209,15177,135,141,152,"武、武士的怜悯之心啊喵……"
11,210,15178,138,145,153,"出发吧~"
12,211,15179,139,146,154,"省电模式"
13,212,15180,180,134,140,"达尼"
